Unnamed: 0,slug,name,playtime,stores,released,rating,rating_top,ratings,ratings_count,reviews_text_count,added,added_by_status,metacritic,suggestions_count,updated,id,tags,reviews_count,genres,genres_list,release_year,main_genre,store_list,rating_difference,combined_score
586,hellpoint,Hellpoint,3,[],2020-07-30,2.76,3,"['meh', 'skip', 'recommended', 'exceptional']",51,2,2182,"{'yet': 154, 'owned': 1927, 'beaten': 13, 'toplay': 42, 'dropped': 41, 'playing': 5}",61.0,494,2024-11-26T14:58:37,22123,"['Singleplayer', 'Экшен', 'Приключение', 'Steam Achievements', 'Инди', 'Multiplayer', 'Steam Cloud', 'steam-trading-cards', 'RPG', 'Co-op', 'Ролевая игра', 'Научная фантастика', 'Partial Controller Support', 'Насилие', 'Violent', 'Split Screen', 'Local Co-Op', 'Local Multiplayer', 'stats', 'role-playing', 'Похожа на Dark Souls']",54,"['Indie', 'Adventure', 'Action', 'RPG']","['Indie', 'Adventure', 'Action', 'RPG']",2020,Indie,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",-0.29,2.905
681,anomaly-2,Anomaly 2,2,[],2013-05-14,2.9,4,"['recommended', 'meh', 'skip', 'exceptional']",62,0,1898,"{'yet': 92, 'owned': 1758, 'beaten': 20, 'toplay': 7, 'dropped': 20, 'playing': 1}",77.0,610,2024-10-07T11:59:32,1562,"['Singleplayer', 'Для одного игрока', 'Экшен', 'Инди', 'Multiplayer', 'Steam Cloud', 'Для нескольких игроков', 'steam-trading-cards', 'Стратегия', 'Научная фантастика', 'Sci-fi', 'Cross-Platform Multiplayer', 'Стратегия в реальном времени', 'RTS', 'Башенная защита', 'Tower Defense', 'Touch-Friendly', 'Сенсорное управление']",62,"['Strategy', 'Indie', 'Action']","['Strategy', 'Indie', 'Action']",2013,Strategy,"['Steam', 'PlayStation Store', 'App Store', 'GOG', 'Google Play']",-0.9500000000000002,3.375
765,reverse-4,Resident Evil Re:Verse,1,[],2022-10-28,1.53,1,"['skip', 'meh', 'recommended']",63,0,1662,"{'yet': 64, 'owned': 1544, 'beaten': 9, 'toplay': 14, 'dropped': 30, 'playing': 1}",78.0,456,2024-11-14T19:49:03,545033,"['Singleplayer', 'Для одного игрока', 'Экшен', 'Приключение', 'Multiplayer', 'Full controller support', 'Atmospheric', 'Для нескольких игроков', 'Атмосфера', 'Глубокий сюжет', 'Co-op', 'Story Rich', 'cooperative', 'От первого лица', 'First-Person', 'Horror', 'FPS', 'Шутер от первого лица', 'Мясо', 'Gore', 'Выживание', 'Survival', 'Насилие', 'Violent', 'Мрачная', 'Dark', 'Zombies', 'Зомби', 'Хоррор на выживание', 'Survival Horror']",64,"['Shooter', 'Action']","['Shooter', 'Action']",2022,Shooter,['Steam'],-2.37,2.715
769,x-morph-defense,X-Morph: Defense,3,[],2017-08-30,3.08,3,"['meh', 'recommended', 'skip', 'exceptional']",47,1,1657,"{'yet': 97, 'owned': 1522, 'beaten': 8, 'toplay': 9, 'dropped': 18, 'playing': 3}",75.0,702,2024-11-08T09:09:44,11562,"['Singleplayer', 'Для одного игрока', 'Экшен', 'Steam Achievements', 'Инди', 'Full controller support', 'Steam Cloud', 'steam-trading-cards', 'cooperative', 'Стратегия', 'Шутер', 'Научная фантастика', 'Сложная', 'Steam Leaderboards', 'Split Screen', 'Локальный мультиплеер', 'Local Co-Op', 'Контроллер', 'Реиграбельность', 'Изометрия', 'Будущее', 'Вид сверху', 'Инопланетяне', 'Разрушения', 'Башенная защита', 'Tower Defense', 'Шутер с видом сверху', 'Твин-стик шутер', 'Злодей-протагонист']",48,"['Indie', 'Shooter', 'Strategy', 'Action']","['Indie', 'Shooter', 'Strategy', 'Action']",2017,Indie,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']",-0.6699999999999999,3.415
781,west-of-dead,West of Dead,1,[],2020-06-08,3.08,3,"['meh', 'recommended', 'skip', 'exceptional']",64,2,1634,"{'yet': 70, 'owned': 1446, 'beaten': 9, 'toplay': 49, 'dropped': 51, 'playing': 9}",68.0,456,2024-03-05T13:43:19,391395,"['Singleplayer', 'Для одного игрока', 'Экшен', 'Приключение', 'Steam Achievements', 'Инди', 'Full controller support', 'Steam Cloud', 'Atmospheric', 'Атмосфера', 'Шутер', 'Сложная', 'Difficult', 'Выживание', 'Survival', 'stats', 'Реиграбельность', 'Replay Value', 'Рогалик', 'Быстрая', 'Roguelike', 'Fast-Paced', 'Вид сверху', 'Top-Down', 'Процедурная генерация', 'Затягивающая', 'Procedural Generation', 'Шутер с видом сверху', 'Твин-стик шутер', 'Top-Down Shooter', 'Twin Stick Shooter', 'Western', 'Вестерн', 'Action Roguelike', 'Экшен-рогалик', 'Чёрная комедия', 'Dark Comedy', 'Addictive']",66,"['Indie', 'Shooter', 'Adventure', 'Action']","['Indie', 'Shooter', 'Adventure', 'Action']",2020,Indie,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",-0.3199999999999998,3.24
804,beatbuddy-tale-of-the-guardians,Beatbuddy: Tale of the Guardians,2,[],2013-08-05,2.61,3,"['meh', 'skip', 'recommended', 'exceptional']",57,0,1579,"{'yet': 86, 'owned': 1438, 'beaten': 16, 'toplay': 5, 'dropped': 32, 'playing': 2}",75.0,506,2023-12-18T17:54:00,1607,"['Singleplayer', 'Для одного игрока', 'Экшен', 'Приключение', 'Steam Achievements', 'Инди', 'Full controller support', 'Steam Cloud', 'steam-trading-cards', 'Отличный саундтрек', 'Great Soundtrack', 'Казуальная игра', '2D', 'Головоломка', 'Steam Leaderboards', 'Платформер', 'stats', 'controller support', 'Вид сбоку', 'Music', 'Музыка', 'Touch-Friendly', 'Сенсорное управление', 'Rhythm', 'Ритм-игра']",57,"['Adventure', 'Action', 'Puzzle', 'Casual', 'Indie']","['Adventure', 'Action', 'Puzzle', 'Casual', 'Indie']",2013,Adventure,"['Steam', 'Xbox Store', 'GOG']",-1.14,3.18
805,lovecrafts-untold-stories,Lovecraft's Untold Stories,3,[],2018-06-21,3.24,4,"['recommended', 'meh', 'skip', 'exceptional']",35,0,1578,"{'yet': 81, 'owned': 1451, 'beaten': 7, 'toplay': 12, 'dropped': 23, 'playing': 4}",75.0,414,2024-07-29T15:06:36,58975,"['Singleplayer', 'Для одного игрока', 'Экшен', 'Приключение', 'Инди', 'Full controller support', 'Атмосфера', 'Отличный саундтрек', 'RPG', 'Ролевая игра', '2D', 'Horror', 'Сложная', 'Насилие', 'Violent', 'Пиксельная графика', 'Ранний доступ', 'Pixel Graphics', 'Early Access', 'Приключенческий экшен', 'Рогалик', 'Roguelike', 'Упрощённый рогалик', 'Dungeon Crawler', 'Лавкрафт', 'Твин-стик шутер', 'Lovecraftian']",37,"['Indie', 'Adventure', 'Action', 'RPG']","['Indie', 'Adventure', 'Action', 'RPG']",2018,Indie,"['Steam', 'Xbox Store', 'App Store', 'GOG']",-0.5099999999999998,3.495
811,greak-memories-of-azur,Greak: Memories of Azur,4,[],2021-08-16,3.12,4,"['recommended', 'meh', 'skip', 'exceptional']",32,1,1559,"{'yet': 86, 'owned': 1387, 'beaten': 19, 'toplay': 41, 'dropped': 21, 'playing': 5}",73.0,481,2023-07-26T17:52:42,638648,"['Singleplayer', 'Для одного игрока', 'Экшен', 'Приключение', 'Steam Achievements', 'Инди', 'Full controller support', 'Steam Cloud', '2D', 'Головоломка', 'Фэнтези', 'Fantasy', 'Exploration', 'Платформер', 'Action-Adventure', 'Аркада', 'Аниме', 'Anime', 'Слэшер', 'Милая', 'Hack and Slash', 'Приключенческий экшен', 'Цветастая', 'Cute', 'Вид сбоку', 'Colorful', 'Side Scroller', 'Metroidvania', 'Головоломка-платформер', 'Steam Trading Cards', 'Метроидвания', 'Рисованная графика', 'Hand-drawn', 'Исследования', '2D Platformer', '2D-платформер', 'Puzzle Platformer']",34,"['Indie', 'Platformer', 'Adventure', 'Action']","['Indie', 'Platformer', 'Adventure', 'Action']",2021,Indie,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']",-0.5299999999999998,3.385
842,transpose,Transpose,1,[],2018-11-06,2.2,1,"['skip', 'meh', 'recommended', 'exceptional']",41,0,1489,"{'yet': 80, 'owned': 1399, 'beaten': 1, 'toplay': 1, 'dropped': 8}",80.0,523,2023-12-18T17:32:33,216275,"['Singleplayer', 'Экшен', 'Steam Achievements', 'Казуальная игра', 'Головоломка', 'VR']",41,"['Casual', 'Action']","['Casual', 'Action']",2018,Casual,"['Steam', 'PlayStation Store']",-1.7999999999999998,3.1
843,scrap-garden,Scrap Garden,3,[],2016-05-06,2.22,1,"['skip', 'meh', 'recommended', 'exceptional']",45,0,1488,"{'yet': 71, 'owned': 1397, 'beaten': 8, 'toplay': 5, 'dropped': 6, 'playing': 1}",58.0,444,2024-03-09T08:23:38,10994,"['Singleplayer', 'Для одного игрока', 'Экшен', 'Приключение', 'Steam Achievements', 'Инди', 'Full controller support', 'Steam Cloud', 'Atmospheric', 'Атмосфера', 'steam-trading-cards', 'Казуальная игра', 'От третьего лица', 'Third Person', 'Exploration', 'Платформер', 'Исследование', 'Контроллер', 'Controller', 'Для всей семьи', 'Милая', 'Post-apocalyptic', 'Family Friendly', 'Cute', 'Short', 'Пост-апокалипсис', 'Короткая', 'Физика', 'Physics', 'Головоломка-платформер', 'Robots', '3D-платформер', 'Роботы', 'Puzzle-Platformer', '3D Platformer', 'Dragons', 'Драконы']",45,"['Indie', 'Adventure', 'Action']","['Indie', 'Adventure', 'Action']",2016,Indie,"['Steam', 'Xbox Store']",-0.6799999999999997,2.56
873,tumblestone,Tumblestone,6,[],2016-07-12,2.44,1,"['skip', 'meh', 'recommended', 'exceptional']",63,1,1415,"{'yet': 104, 'owned': 1258, 'beaten': 3, 'toplay': 3, 'dropped': 38, 'playing': 9}",91.0,292,2024-09-04T23:57:23,1657,"['Singleplayer', 'Для одного игрока', 'Экшен', 'Steam Achievements', 'Инди', 'Multiplayer', 'Full controller support', 'Steam Cloud', 'steam-trading-cards', 'Глубокий сюжет', 'cooperative', 'Стратегия', 'Казуальная игра', '2D', 'Головоломка', 'Steam Leaderboards', 'Online multiplayer', 'Split Screen', 'Локальный мультиплеер', 'Контроллер', 'Local Multiplayer', 'stats', 'Аркада', 'Cross-Platform Multiplayer', 'Для всей семьи', 'Соревновательная', 'Расслабляющая', 'Локальная игра на четверых', 'puzzles', 'Разделение экрана', 'party', 'Мультфильм', 'Три в ряд', 'Match 3']",64,"['Action', 'Puzzle', 'Casual', 'Strategy', 'Indie']","['Action', 'Puzzle', 'Casual', 'Strategy', 'Indie']",2016,Action,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'Nintendo Store']",-2.11,3.495
876,butcher,BUTCHER,2,[],2016-10-04,2.94,3,"['meh', 'recommended', 'skip', 'exceptional']",49,0,1413,"{'yet': 98, 'owned': 1268, 'beaten': 12, 'toplay': 8, 'dropped': 25, 'playing': 2}",70.0,417,2022-12-31T05:03:58,10387,"['Singleplayer', 'Экшен', 'Steam Achievements', 'Инди', 'Full controller support', 'Steam Cloud', 'steam-trading-cards', 'Отличный саундтрек', 'Great Soundtrack', 'Шутер', 'First-Person', '2D', 'Сложная', 'Мясо', 'Gore', 'Difficult', 'Steam Leaderboards', 'Платформер', 'Насилие', 'Violent', 'Пиксельная графика', 'Ретро', 'Pixel Graphics', 'Мрачная', 'Steam Workshop', 'Retro', 'Dark', 'Includes level editor', 'Злодей-протагонист']",49,"['Platformer', 'Indie', 'Action']","['Platformer', 'Indie', 'Action']",2016,Platformer,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']",-0.56,3.22
881,toki-tori-2,Toki Tori 2+,2,[],2013-04-04,3.0,3,"['meh', 'recommended', 'skip', 'exceptional']",58,0,1404,"{'yet': 69, 'owned': 1284, 'beaten': 14, 'toplay': 8, 'dropped': 29}",69.0,350,2024-02-13T06:38:09,327,"['Singleplayer', 'Для одного игрока', 'Экшен', 'Приключение', 'Steam Achievements', 'Инди', 'Full controller support', 'Steam Cloud', 'steam-trading-cards', 'Открытый мир', 'Open World', 'Казуальная игра', 'Шедевр', '2D', 'Смешная', 'Головоломка', 'Сложная', 'Funny', 'Difficult', 'Платформер', 'Исследование', 'Контроллер', 'Controller', 'Steam Workshop', 'Для всей семьи', 'Includes level editor', 'Милая', 'Family Friendly', 'Cute', 'Metroidvania', 'Головоломка-платформер', 'Метроидвания', 'Puzzle-Platformer', 'puzzles', 'Редактор уровней', 'Level Editor']",58,"['Casual', 'Indie', 'Adventure', 'Puzzle']","['Casual', 'Indie', 'Adventure', 'Puzzle']",2013,Casual,"['Steam', 'PlayStation Store', 'Nintendo Store']",-0.4500000000000002,3.225
892,battlestations-midway,Battlestations: Midway,1,[],2007-01-30,2.72,3,"['meh', 'skip', 'recommended', 'exceptional']",46,0,1372,"{'yet': 53, 'owned': 1271, 'beaten': 15, 'toplay': 8, 'dropped': 24, 'playing': 1}",76.0,434,2024-10-01T15:35:30,10239,"['Singleplayer', 'Для одного игрока', 'Экшен', 'Multiplayer', 'Для нескольких игроков', 'Стратегия', 'Симулятор', 'War', 'Война', 'Вторая мировая война', 'World War II', 'Полёты', 'Flight', 'Морские бои', 'Naval']",46,"['Strategy', 'Action']","['Strategy', 'Action']",2007,Strategy,"['Steam', 'Xbox Store', 'App Store', 'Xbox 360 Store']",-1.0799999999999996,3.26
900,warsaw,WARSAW,4,[],2019-10-01,2.94,3,"['meh', 'recommended', 'skip', 'exceptional']",32,0,1348,"{'yet': 77, 'owned': 1217, 'beaten': 9, 'toplay': 26, 'dropped': 17, 'playing': 2}",74.0,307,2023-12-19T12:47:54,297320,"['Singleplayer', 'Для одного игрока', 'Инди', 'RPG', 'Co-op', 'Ролевая игра', 'Open World', '2D', 'FPS', 'Сложная', 'Женщина-протагонист', 'Исследование', 'Мрачная', 'role-playing', 'War', 'Война', 'Рогалик', 'Historical', 'История', 'Военные действия', 'Military', 'Упрощённый рогалик', 'Рисованная графика', 'Пошаговые сражения', 'Вторая мировая война', 'World War II', 'Одна жизнь', 'Партийная ролевая игра', 'Тактическая ролевая игра', 'Tanks', 'Flight', 'Ролевая стратегия', 'TrackIR']",32,"['Strategy', 'Indie', 'RPG']","['Strategy', 'Indie', 'RPG']",2019,Strategy,"['Steam', 'PlayStation Store', 'GOG']",-0.7600000000000002,3.3200000000000003
